nbhoods,Bldg_Type,zoning,Lot_Config,Street,House_Style,Condition_1,Overall_Qual,Overall_Cond,Year_Built,Misc_Val,BsmtFin_Type_1,BsmtFin_Type_2,basement_exp,basement_qual,Total_Bsmt_SF,garage_qual,Garage_Area,area_porch,Low_Qual_Fin_SF,Garage_Type,Garage_Finish,Garage_Cars,Fireplaces,fireplace_qual,Heating_QC,Central_Air,Exter_Qual,Exter_Cond,Pool_Area,major_functional,severe_functional,SalePrice,aleatoria_num,aleatoria_cat,Lot_Area,Gr_Liv_Area,First_Flr_SF,Second_Flr_SF
Blmngtn,1Fam,RL,Inside,Pave,1Story,Norm,7,5,2007,0,Unf,Unf,Gd,Gd,1146,TA,428,24,0,Attchd,Fin,2,1,Gd,Ex,Y,Gd,TA,0,0,0,187687,-1.4878825855240574,b,3710,1246,1246,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2006,0,Unf,Unf,Av,Ex,1258,TA,648,16,0,Attchd,Fin,3,1,Gd,Ex,Y,Gd,TA,0,0,0,172500,0.881213072805039,a,3922,1258,1258,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2007,0,Unf,Unf,No,Gd,1373,TA,660,20,0,Attchd,Fin,3,1,TA,Ex,Y,Gd,TA,0,0,0,174000,-1.619799532613926,c,3684,1555,1555,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2005,0,GLQ,Unf,Av,Gd,1248,TA,438,0,0,Attchd,Fin,2,0,No Fireplace,Ex,Y,Gd,TA,0,0,0,167240,0.7527308744111867,a,3010,1248,1248,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2005,0,GLQ,Unf,No,Gd,1346,TA,437,20,0,Attchd,Fin,2,1,Gd,Ex,Y,Gd,TA,0,0,0,191000,-1.3898326120078655,a,3182,1504,1504,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,8,5,2004,0,GLQ,Unf,No,Gd,1256,TA,430,164,0,Attchd,Fin,2,1,TA,Ex,Y,Gd,TA,0,0,0,192000,1.3851472014647586,b,3182,1269,1269,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2005,0,GLQ,Unf,No,Gd,1145,TA,397,16,0,Attchd,Fin,2,1,Gd,Ex,Y,Gd,TA,0,0,0,160200,-0.32377136211722274,c,3182,1145,1145,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2002,0,GLQ,Unf,Av,Gd,1368,TA,398,30,0,Attchd,Fin,2,1,TA,Ex,Y,Gd,TA,0,0,0,246990,0.9721871090618788,c,2938,1511,1511,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2005,0,GLQ,Unf,Gd,Gd,1142,TA,440,0,0,Attchd,Fin,2,0,No Fireplace,Ex,Y,Gd,TA,0,0,0,156820,-1.0094611645992195,b,3010,1142,1142,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,8,5,2006,0,GLQ,Unf,Av,Gd,1520,TA,648,0,0,Attchd,Fin,3,1,Gd,Ex,Y,Gd,TA,0,0,0,264561,1.601336824830954,c,3982,1567,1567,0
Blmngtn,1Fam,RL,Inside,Pave,1Story,Norm,7,5,2007,0,Unf,Unf,Av,Gd,1266,TA,388,16,0,Attchd,Fin,2,1,Gd,Ex,Y,Gd,TA,0,0,0,159895,0.7273433567931216,c,3182,1266,1266,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2005,0,GLQ,Unf,Av,Gd,1220,TA,397,16,0,Attchd,Fin,2,1,Gd,Ex,Y,Gd,TA,0,0,0,180000,1.877112505030942,a,3182,1220,1220,0
Blmngtn,TwnhsE,RM,Inside,Pave,1Story,Norm,7,5,2004,0,GLQ,Unf,No,Gd,1393,TA,668,20,0,Attchd,RFn,3,1,TA,Ex,Y,Gd,TA,0,0,0,219990,0.6022593723707595,b,3940,1576,1576,0
Blmngtn,TwnhsE,RL,Inside,Pave,1Story,Norm,7,5,2005,0,GLQ,Unf,Gd,Gd,1362,TA,440,20,0,Attchd,Fin,2,1,Gd,Ex,Y,Gd,TA,0,0,0,213490,0.3102696404001095,b,3013,1506,1506,0
Other,Twnhs,RM,Inside,Pave,2Story,Norm,6,6,1980,0,Unf,Unf,No,Gd,561,TA,462,0,0,Attchd,Fin,2,1,TA,TA,Y,TA,TA,0,0,0,121000,0.5661599694276981,a,1612,1229,561,668
