"","wfmake","wfaddress","wfall","wf3d","wfour","wfover","wfremove","wfinternet","wforder","wfmail","wfreceive","wfwill","wfpeople","wfreport","wfaddresses","wffree","wfbusiness","wfemail","wfyou","wfcredit","wfyour","wffont","wf000","wfmoney","wfhp","wfhpl","wfgeorge","wf650","wflab","wflabs","wftelnet","wf857","wfdata","wf415","wf85","wftechnology","wf1999","wfparts","wfpm","wfdirect","wfcs","wfmeeting","wforiginal","wfproject","wfre","wfedu","wftable","wfconference","cfsc","cfpar","cfbrack","cfexc","cfdollar","cfpound","crlaverage","crllongest","crltotal","spam"
"1",0,0.57,0,0,0,0,0,0,0,0,0.57,0.57,1.15,0,0,0,0,1.73,3.46,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,1.421,7,54,"1"
"2",1.24,0.41,1.24,0,0,0,0,0,0,0,0,0.41,0,0,0,0.41,0,0.82,3.73,0,1.24,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.065,0,0.461,0.527,0,3.166,19,114,"1"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,0,4.87,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,"0"
"4",0,0,0.48,0,0.96,0,0,0,0.48,0,0,0,0,0,0,0.96,0.96,0,1.44,0,0.48,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.133,0.066,0.468,0.267,0,3.315,61,242,"1"
"5",0.54,0,0.54,0,1.63,0,0,0,0,0,0,0.54,0,0,0,0.54,0.54,0,2.17,0,5.97,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0.318,0,2.345,22,129,"1"
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0.416,1.937,8,31,"0"
"7",0.14,0.14,0.29,0,0,0,0,0,1.03,0.29,0.14,0.59,0,0,0,0,0,0.14,2.36,0.14,0.88,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0.153,0.128,0.102,2.686,73,368,"1"
"8",0.05,0,0.17,0,0.28,0,0,0,0.51,0,0,0.17,0,0.05,0,0,0,0.05,0.22,0,0.17,0,0,0,0.96,1.02,0.05,0,0,0,0,0,0.28,0,0,0.11,0.73,0,0,0,0,0,0,0,0,0,0,0,0.165,0.182,0.091,0,0.016,0,2.777,38,1161,"0"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714,4,12,"0"
"10",0.09,0,0.48,0,0,0.29,0,0,0,0.09,0,0,0.19,0,0,0.09,0.19,0.58,1.35,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,3.1,0,0,0.015,0.03,0,0,0.046,0,1.722,17,267,"0"
"11",0.17,0,0.26,0,0.08,0.08,0,0.08,0.08,0.08,0.17,0.17,0.08,0,0,0.08,0.26,0,1.75,0,1.14,0,0,0,1.93,0.52,0,0.17,0,0,0.26,0,0.17,0,0.26,0.08,0.79,0,0,0,0,0,0,0,0.08,0,0,0,0,0.063,0,0.038,0,0,1.66,20,646,"0"
"12",0,0,1.23,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,2.46,1.23,0,1.23,0,0,0,2.46,1.23,0,1.23,0,1.23,1.23,0,0,0,1.23,1.23,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0.278,0,0,1.736,10,66,"0"
"13",0,0,0,0,0,0,0,0,0,1.51,0,1.51,0,0,0,0,0,0,7.57,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.769,15,36,"1"
"14",0,0,0.33,0,0.33,0,0.33,0.33,0,0,0,0.33,0,0,0,1.65,0,1.65,2.64,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.537,0,0,2.517,9,141,"1"
"15",0,0,1.68,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0.33,0,0,2.02,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.06,0,0.484,0,0,1.796,19,203,"1"
"16",0,0.54,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0.182,0.091,0.091,0,0,1.212,5,40,"0"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0.925,0,0,1.833,6,11,"0"
"18",0,0,0.93,0,0,0,0,0,0,2.8,0.93,0,0,0,0,0,2.8,0,4.67,0.93,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0.464,0.154,0,1.612,10,50,"1"
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,6,66,"0"
"20",0.08,0,0.22,0,0.04,0,0,0,0.44,0.04,0,0.22,0.04,0,0,0,0.04,0,0.17,0,0.08,0,0,0,0.39,0.44,0.04,0,0,0,0,0,0.57,0,0,0,0.08,0.08,0,0,0,0,0.04,0.04,0,0,0,0,0.163,0.197,0.058,0,0.011,0,3.851,64,1583,"0"
"21",0,0,0.68,0,0,0,0,1.36,0,0,0.68,0.68,0,0,0,0,0,0,3.4,0,1.36,0,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0,2.232,19,96,"1"
"22",0.09,0,0.27,0,0.36,0.09,0,0.18,0.09,0,0,0.72,0,0.36,0,0,0,0,2,0,3.36,0,0.36,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.015,0.047,0.031,0.237,0.031,0.031,3.758,69,530,"1"
"23",0.1,0.05,0.1,0,0.31,0.1,0,0,0,0.05,0,0.31,0.05,0,0,0.1,0.1,0,0.84,0.05,0.63,0,0,0.05,1.47,0.36,0,0.05,0,0.21,0.1,0,0,0,0.1,0.15,0.21,0,0.36,0,0,0,0,0,0.1,0,0,0.15,0.007,0.168,0,0.038,0.061,0.007,1.704,25,939,"0"
"24",0,0.41,0.41,0,2.06,0,1.65,0.82,0,0,0,0,0,0,0,2.47,0,0.82,2.47,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.265,0,0.199,0,0,15.892,226,445,"1"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,6.25,3.12,3.12,3.12,3.12,3.12,3.12,3.12,0,3.12,3.12,3.12,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0.913,0,0,0,0,3.454,11,38,"0"
"26",0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,1.61,1.61,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0.283,0,0,0,0,1.666,4,20,"0"
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,2.4,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.302,0,2.611,11,47,"1"
"28",0.8,0,0.8,0,1.6,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,1.6,0,2.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.566,0.361,0,2.638,22,124,"1"
"29",0,0,0.29,0,0.29,0.29,0.29,0.29,0,0,0.58,0.87,0,0,0,0.87,0.58,0.29,2.61,2.61,2.9,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0.14,0,0.14,4.892,139,274,"1"
"30",0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,1.86,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0.165,0,0,1.238,4,26,"0"
